model	samples	features	causal	selected	i	tpr
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	10	1.0
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	1	1.0
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	2	0.8
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	3	0.8
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	4	1.0
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	5	0.8
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	6	0.8
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	7	1.0
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	8	0.8
HSIC_lasso_covars-B=0-M=3	1000	1000	5	50	9	0.8
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	10	1.0
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	1	1.0
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	2	0.8
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	3	0.8
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	4	1.0
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	5	0.8
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	6	0.8
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	7	1.0
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	8	0.8
HSIC_lasso_covars-B=0-M=3	1000	2500	5	50	9	0.8
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	10	0.4
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	1	0.2
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	2	0.2
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	3	0.4
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	4	0.4
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	5	0.4
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	6	0.6
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	7	0.2
HSIC_lasso_covars-B=0-M=3	100	10000	5	50	8	0.0
