task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
161	7e/4fe81e	1759802	simulate_data (161)	CACHED	0	2018-12-10 23:38:05.144	10.2s	736ms	311.5%	13.8 MB	1.5 GB	1.8 MB	0
209	ef/e5d927	1759846	simulate_data (209)	CACHED	0	2018-12-10 23:38:07.197	10.1s	904ms	489.6%	22 MB	1.5 GB	3.5 MB	0
41	92/610a6d	1759650	simulate_data (41)	CACHED	0	2018-12-10 23:37:52.000	10.1s	551ms	961.0%	42.9 MB	1.6 GB	3.5 MB	19.1 MB
263	0c/f9a554	1706662	simulate_data (257)	CACHED	0	2018-12-05 00:38:30.869	9.8s	632ms	89.9%	33.3 MB	340.6 MB	3.5 MB	0
185	84/1bf254	1759828	simulate_data (185)	CACHED	0	2018-12-10 23:38:06.351	10.1s	1.3s	201.9%	16 MB	1.5 GB	2.3 MB	0
65	97/4aef21	1759709	simulate_data (65)	CACHED	0	2018-12-10 23:37:54.749	10.4s	599ms	348.3%	36.5 MB	1.5 GB	3.5 MB	0
317	b6/0da74d	1706717	simulate_data (305)	CACHED	0	2018-12-05 00:38:38.220	10s	499ms	81.2%	31.8 MB	325.6 MB	3.5 MB	21 MB
113	e6/703def	1759756	simulate_data (113)	CACHED	0	2018-12-10 23:38:02.407	10.4s	695ms	814.5%	22.8 MB	1.5 GB	3.5 MB	0
251	f1/79bcde	1706653	simulate_data (245)	CACHED	0	2018-12-05 00:38:30.445	9.8s	451ms	97.3%	46.9 MB	340.6 MB	3.5 MB	128 B
53	8b/c85030	1759654	simulate_data (53)	CACHED	0	2018-12-10 23:37:52.182	10.1s	908ms	353.2%	25.4 MB	1.5 GB	3.5 MB	0
173	58/ae645a	1759816	simulate_data (173)	CACHED	0	2018-12-10 23:38:05.771	10.2s	1.2s	496.2%	15.8 MB	1.5 GB	2.1 MB	0
136	83/b4036c	1759774	simulate_data (136)	CACHED	0	2018-12-10 23:38:03.831	10.4s	973ms	303.0%	19.5 MB	1.5 GB	3.5 MB	0
275	59/a05309	1706684	simulate_data (269)	CACHED	0	2018-12-05 00:38:31.942	9.5s	744ms	97.7%	30.4 MB	340.4 MB	3.5 MB	0
149	98/440871	1759788	simulate_data (149)	CACHED	0	2018-12-10 23:38:04.477	10.3s	903ms	584.1%	31.1 MB	1.5 GB	3.5 MB	0
233	a4/26ba1f	1759876	simulate_data (233)	CACHED	0	2018-12-10 23:38:14.476	9.7s	716ms	747.7%	21.1 MB	1.5 GB	3.5 MB	0
125	ce/3b7190	1759767	simulate_data (125)	CACHED	0	2018-12-10 23:38:03.013	10.3s	736ms	578.8%	36 MB	1.5 GB	3.5 MB	0
371	bb/4a9869	1706775	simulate_data (353)	CACHED	0	2018-12-05 00:38:41.447	8.6s	770ms	95.2%	30.2 MB	340.6 MB	3.5 MB	0
299	12/9e8fac	1706689	simulate_data (293)	CACHED	0	2018-12-05 00:38:32.166	9.5s	652ms	100.1%	33.3 MB	340.6 MB	3.5 MB	0
101	40/641718	1759746	simulate_data (101)	CACHED	0	2018-12-10 23:37:56.591	10.1s	847ms	1144.3%	15.8 MB	1.5 GB	2.1 MB	0
329	27/65e4de	1706738	simulate_data (317)	CACHED	0	2018-12-05 00:38:39.666	9.4s	497ms	85.6%	40.7 MB	340.4 MB	3.5 MB	0
338	94/e9d4a5	1706740	simulate_data (326)	CACHED	0	2018-12-05 00:38:39.755	9.4s	511ms	94.3%	38.7 MB	340.6 MB	3.5 MB	0
29	3d/75c798	1759688	simulate_data (29)	CACHED	0	2018-12-10 23:37:53.801	10.4s	882ms	301.2%	22 MB	1.5 GB	3.5 MB	0
77	aa/b2f89c	1759723	simulate_data (77)	CACHED	0	2018-12-10 23:37:55.398	10.3s	1.3s	365.2%	17.7 MB	1.5 GB	2.8 MB	0
221	2f/266e27	1759867	simulate_data (221)	CACHED	0	2018-12-10 23:38:13.338	10.6s	620ms	390.6%	35.2 MB	1.5 GB	3.5 MB	0
5	1e/c473f8	1759692	simulate_data (5)	CACHED	0	2018-12-10 23:37:53.967	10.4s	902ms	339.6%	18.4 MB	1.5 GB	2.8 MB	0
287	43/00f56a	1706679	simulate_data (281)	CACHED	0	2018-12-05 00:38:31.707	9.5s	537ms	98.6%	47.2 MB	344.6 MB	3.5 MB	16 MB
197	4d/e634c6	1759831	simulate_data (197)	CACHED	0	2018-12-10 23:38:06.483	10.1s	1.4s	322.4%	16.6 MB	1.5 GB	2.4 MB	0
89	02/f0221f	1759731	simulate_data (89)	CACHED	0	2018-12-10 23:37:55.757	10.4s	1.4s	280.4%	14.3 MB	1.5 GB	1.9 MB	0
17	56/0370d0	1759649	simulate_data (17)	CACHED	0	2018-12-10 23:37:51.959	10.1s	680ms	553.8%	22.1 MB	1.5 GB	3.5 MB	0
354	d4/d971d9	1706766	simulate_data (342)	CACHED	0	2018-12-05 00:38:41.012	8.9s	455ms	89.7%	29.1 MB	340.6 MB	3.5 MB	0
934	0e/3b5e49	1761777	run_mrmr (10 (8))	CACHED	0	2018-12-11 06:39:06.919	10m 50s	6.2s	194.1%	65.5 MB	1.2 GB	27.1 MB	0
2226	ed/f4919b	1710409	run_mrmr (20 (6))	CACHED	0	2018-12-05 20:40:03.290	2h 13m	18.7s	74.0%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
1038	d8/ec7ae2	1761876	run_mrmr (10 (9))	CACHED	0	2018-12-11 06:49:16.951	25m 15s	7.8s	222.5%	80.2 MB	1.2 GB	42.6 MB	15.5 MB
185	11/8cb77e	1760137	run_lars (5 (5))	CACHED	0	2018-12-10 23:39:08.280	9.1s	2s	323.2%	16.9 MB	1.5 GB	2.2 MB	0
587	78/542fdb	1760573	run_lars (10 (1))	CACHED	0	2018-12-11 04:54:51.627	10s	1.1s	691.7%	32.8 MB	1.6 GB	8 MB	0
1027	cf/267c31	1761865	run_lars (10 (9))	CACHED	0	2018-12-11 06:48:36.991	9.9s	842ms	971.3%	47 MB	1.6 GB	27.1 MB	0
422	ba/b7071c	1760020	run_lars (20 (8))	CACHED	-	2018-12-10 23:38:26.529	-	-	-	-	-	-	-
809	47/d8665a	1761599	run_mrmr (10 (2))	CACHED	0	2018-12-11 06:15:06.846	25m 50s	4.5s	277.8%	45.3 MB	1.2 GB	26.6 MB	0
