task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
275	59/a05309	1706684	simulate_data (269)	CACHED	0	2018-12-05 00:38:31.942	9.5s	744ms	97.7%	30.4 MB	340.4 MB	3.5 MB	0
338	94/e9d4a5	1706740	simulate_data (326)	CACHED	0	2018-12-05 00:38:39.755	9.4s	511ms	94.3%	38.7 MB	340.6 MB	3.5 MB	0
251	f1/79bcde	1706653	simulate_data (245)	CACHED	0	2018-12-05 00:38:30.445	9.8s	451ms	97.3%	46.9 MB	340.6 MB	3.5 MB	128 B
299	12/9e8fac	1706689	simulate_data (293)	CACHED	0	2018-12-05 00:38:32.166	9.5s	652ms	100.1%	33.3 MB	340.6 MB	3.5 MB	0
317	b6/0da74d	1706717	simulate_data (305)	CACHED	0	2018-12-05 00:38:38.220	10s	499ms	81.2%	31.8 MB	325.6 MB	3.5 MB	21 MB
287	43/00f56a	1706679	simulate_data (281)	CACHED	0	2018-12-05 00:38:31.707	9.5s	537ms	98.6%	47.2 MB	344.6 MB	3.5 MB	16 MB
263	0c/f9a554	1706662	simulate_data (257)	CACHED	0	2018-12-05 00:38:30.869	9.8s	632ms	89.9%	33.3 MB	340.6 MB	3.5 MB	0
354	d4/d971d9	1706766	simulate_data (342)	CACHED	0	2018-12-05 00:38:41.012	8.9s	455ms	89.7%	29.1 MB	340.6 MB	3.5 MB	0
329	27/65e4de	1706738	simulate_data (317)	CACHED	0	2018-12-05 00:38:39.666	9.4s	497ms	85.6%	40.7 MB	340.4 MB	3.5 MB	0
371	bb/4a9869	1706775	simulate_data (353)	CACHED	0	2018-12-05 00:38:41.447	8.6s	770ms	95.2%	30.2 MB	340.6 MB	3.5 MB	0
1987	ce/f5770a	1709138	run_lars (20 (3))	CACHED	0	2018-12-05 19:02:13.026	10s	1.6s	84.8%	47.2 MB	501.3 MB	7.4 MB	32 B
2225	f8/a99ac8	1710412	run_lars (20 (6))	CACHED	0	2018-12-05 20:40:23.371	9.9s	2s	83.6%	47.9 MB	501.8 MB	7.4 MB	32 B
2333	ea/d6db20	1710560	run_mrmr (20 (7))	CACHED	0	2018-12-05 22:57:18.635	1h 10s	16.7s	88.6%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
2226	ed/f4919b	1710409	run_mrmr (20 (6))	CACHED	0	2018-12-05 20:40:03.290	2h 13m	18.7s	74.0%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
2441	b6/d79bd1	1710699	run_lars (20 (9))	CACHED	0	2018-12-06 00:11:08.841	10s	1.5s	81.8%	47.4 MB	501.6 MB	7.4 MB	32 B
1885	a8/ba5f78	1708985	run_mrmr (20 (2))	CACHED	0	2018-12-05 18:21:07.918	48m 40s	19.2s	73.0%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
1962	10/b121c8	1709085	run_hsic_lasso (20, B = 20 (4))	CACHED	0	2018-12-05 18:50:58.001	55m 55s	1m 22s	895.5%	2 GB	4.6 GB	44.4 MB	54.3 KB
1958	08/9168a9	1709088	run_mrmr (20 (4))	CACHED	0	2018-12-05 18:51:33.016	55m 5s	14.6s	62.5%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
2461	f3/fa1ea6	1710722	run_mrmr (20 (10))	CACHED	0	2018-12-06 00:25:08.884	39m 15s	33.2s	39.9%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
2444	f5/cc15c8	1710695	run_hsic_lasso (20, B = 5 (9))	CACHED	0	2018-12-06 00:04:38.843	59m 40s	4m	689.3%	314.7 MB	3 GB	44.4 MB	54.8 KB
1886	ef/525a51	1708986	run_lars (20 (2))	CACHED	0	2018-12-05 18:21:07.964	10s	2s	87.5%	47 MB	498.6 MB	7.4 MB	32 B
1889	05/33c52a	1708980	run_hsic_lasso (20, B = 10 (2))	CACHED	0	2018-12-05 18:20:32.965	38m 30s	1m 47s	494.3%	1016.5 MB	3.6 GB	44.4 MB	54.3 KB
2336	34/2b9f7b	1710559	run_hsic_lasso (20, B = 5 (7))	CACHED	0	2018-12-05 22:57:03.638	1h 4m 50s	4m 41s	355.6%	590.2 MB	3.2 GB	44.4 MB	54.3 KB
1887	59/80c3bf	1708983	run_hsic_lasso (20, B = 0 (2))	CACHED	0	2018-12-05 18:21:02.922	53m 10s	4m 44s	1836.3%	28.6 GB	31.5 GB	44.4 MB	54.3 KB
1839	99/dc0509	1708893	run_hsic_lasso (20, B = 0 (1))	CACHED	0	2018-12-05 17:57:47.864	52m 5s	5m 39s	1602.0%	28.5 GB	31.4 GB	44.4 MB	54.3 KB
