model	samples	features	causal	selected	i	tpr
HSIC_lasso-B=10-M=1	1000	2500	20	50	10	0.15
HSIC_lasso-B=10-M=1	1000	2500	20	50	1	0.05
HSIC_lasso-B=10-M=1	1000	2500	20	50	2	0.3
HSIC_lasso-B=10-M=1	1000	2500	20	50	3	0.3
HSIC_lasso-B=10-M=1	1000	2500	20	50	4	0.2
HSIC_lasso-B=10-M=1	1000	2500	20	50	5	0.1
HSIC_lasso-B=10-M=1	1000	2500	20	50	6	0.15
HSIC_lasso-B=10-M=1	1000	2500	20	50	7	0.15
HSIC_lasso-B=10-M=1	1000	2500	20	50	8	0.1
HSIC_lasso-B=10-M=1	1000	2500	20	50	9	0.3
HSIC_lasso-B=10-M=3	1000	2500	20	50	10	0.4
HSIC_lasso-B=10-M=3	1000	2500	20	50	1	0.5
HSIC_lasso-B=10-M=3	1000	2500	20	50	2	0.4
HSIC_lasso-B=10-M=3	1000	2500	20	50	3	0.35
HSIC_lasso-B=10-M=3	1000	2500	20	50	4	0.4
HSIC_lasso-B=10-M=3	1000	2500	20	50	5	0.4
HSIC_lasso-B=10-M=3	1000	2500	20	50	6	0.35
HSIC_lasso-B=10-M=3	1000	2500	20	50	7	0.4
HSIC_lasso-B=10-M=3	1000	2500	20	50	8	0.3
HSIC_lasso-B=10-M=3	1000	2500	20	50	9	0.45
HSIC_lasso-B=10-M=5	1000	2500	20	50	10	0.45
HSIC_lasso-B=10-M=5	1000	2500	20	50	1	0.55
HSIC_lasso-B=10-M=5	1000	2500	20	50	2	0.45
HSIC_lasso-B=10-M=5	1000	2500	20	50	3	0.4
HSIC_lasso-B=10-M=5	1000	2500	20	50	4	0.5
HSIC_lasso-B=10-M=5	1000	2500	20	50	5	0.45
HSIC_lasso-B=10-M=5	1000	2500	20	50	6	0.55
HSIC_lasso-B=10-M=5	1000	2500	20	50	7	0.5
HSIC_lasso-B=10-M=5	1000	2500	20	50	8	0.35
HSIC_lasso-B=10-M=5	1000	2500	20	50	9	0.4
HSIC_lasso-B=30-M=1	1000	2500	20	50	10	0.25
HSIC_lasso-B=30-M=1	1000	2500	20	50	1	0.45
HSIC_lasso-B=30-M=1	1000	2500	20	50	2	0.4
HSIC_lasso-B=30-M=1	1000	2500	20	50	3	0.35
HSIC_lasso-B=30-M=1	1000	2500	20	50	4	0.4
HSIC_lasso-B=30-M=1	1000	2500	20	50	5	0.35
HSIC_lasso-B=30-M=1	1000	2500	20	50	6	0.55
HSIC_lasso-B=30-M=1	1000	2500	20	50	7	0.4
HSIC_lasso-B=30-M=1	1000	2500	20	50	8	0.35
HSIC_lasso-B=30-M=1	1000	2500	20	50	9	0.55
HSIC_lasso-B=30-M=3	1000	2500	20	50	10	0.6
HSIC_lasso-B=30-M=3	1000	2500	20	50	1	0.7
HSIC_lasso-B=30-M=3	1000	2500	20	50	2	0.65
HSIC_lasso-B=30-M=3	1000	2500	20	50	3	0.55
HSIC_lasso-B=30-M=3	1000	2500	20	50	4	0.45
HSIC_lasso-B=30-M=3	1000	2500	20	50	5	0.45
HSIC_lasso-B=30-M=3	1000	2500	20	50	6	0.6
HSIC_lasso-B=30-M=3	1000	2500	20	50	7	0.6
HSIC_lasso-B=30-M=3	1000	2500	20	50	8	0.6
HSIC_lasso-B=30-M=3	1000	2500	20	50	9	0.65
HSIC_lasso-B=30-M=5	1000	2500	20	50	10	0.7
HSIC_lasso-B=30-M=5	1000	2500	20	50	1	0.7
HSIC_lasso-B=30-M=5	1000	2500	20	50	2	0.65
HSIC_lasso-B=30-M=5	1000	2500	20	50	3	0.7
HSIC_lasso-B=30-M=5	1000	2500	20	50	4	0.5
HSIC_lasso-B=30-M=5	1000	2500	20	50	5	0.55
HSIC_lasso-B=30-M=5	1000	2500	20	50	6	0.65
HSIC_lasso-B=30-M=5	1000	2500	20	50	7	0.65
HSIC_lasso-B=30-M=5	1000	2500	20	50	8	0.7
HSIC_lasso-B=30-M=5	1000	2500	20	50	9	0.65
HSIC_lasso-B=5-M=1	1000	2500	20	50	10	0.1
HSIC_lasso-B=5-M=1	1000	2500	20	50	1	0.05
HSIC_lasso-B=5-M=1	1000	2500	20	50	2	0.05
HSIC_lasso-B=5-M=1	1000	2500	20	50	3	0.1
HSIC_lasso-B=5-M=1	1000	2500	20	50	4	0.25
HSIC_lasso-B=5-M=1	1000	2500	20	50	5	0.0
HSIC_lasso-B=5-M=1	1000	2500	20	50	6	0.0
HSIC_lasso-B=5-M=1	1000	2500	20	50	7	0.1
HSIC_lasso-B=5-M=1	1000	2500	20	50	8	0.05
